title,price,location,details,tags,image_url,url,price_shekels,rooms,area_sqm,floor,city,neighborhood,price_per_sqm
השריג 35,₪ 4 350 000,"דירת גן, קרית כרמים, ראשון לציון",5 חדרים • קומה קרקע • 202 מ״ר,"ממ""ד, 3 כיווני אוויר, נוף פתוח לפארק",https://img.yad2.co.il/Pic/202509/06/2_1/o/y2_1pa_010776_20250906180003.jpeg,,4350000.0,5.0,202.0,4.0,ראשון לציון,,21534.653465346535
גרגר הנחלים 13,₪ 2 900 000,"גג/ פנטהאוז, שחמון, רובע 2, אילת",4 חדרים • קומה קרקע • 155 מ״ר,"ממ""ד, 4 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202507/12/2_1/o/y2_1_03452_20250712140701.jpeg,,2900000.0,4.0,155.0,4.0,Unknown,"פנטהאוז, שחמון, רובע 2, אילת",18709.677419354837
הדובדבן 12,₪ 3 850 000,"גג/ פנטהאוז, פסגת אונו, קרית אונו",4 חדרים • קומה 2 • 150 מ״ר,"ממ""ד, 3 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202509/16/2_1/o/y2_1pa_010487_20250916232307.jpeg,,3850000.0,4.0,150.0,2.0,Unknown,"פנטהאוז, פסגת אונו, קרית אונו",25666.666666666668
המייסדים 130,₪ 4 600 000,"דו משפחתי, יובלים, פרדס חנה כרכור",6.5 חדרים • קומה קרקע • 250 מ״ר,"2 מרפסות, ממ""ד, 3 כיווני אוויר",https://img.yad2.co.il/Pic/202509/14/2_1/o/y2_1pa_010451_20250914214141.jpeg,,4600000.0,6.5,2.0,4.0,פרדס חנה כרכור,,2300000.0
צופיה 1,₪ 3 920 000,"בית פרטי/ קוטג', קדומים, קדומים",6 חדרים • קומה קרקע • 512 מ״ר,"ממ""ד, 4 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202509/14/2_1/o/y2_1pa_010098_20250914130403.jpeg,,3920000.0,6.0,512.0,4.0,Unknown,"קוטג', קדומים, קדומים",7656.25
נרקיס 14,₪ 4 950 000,"בית פרטי/ קוטג', בנה ביתך, קרית ים",7 חדרים • קומה קרקע • 478 מ״ר,"3 מרפסות, 4 כיווני אוויר, חניה",https://img.yad2.co.il/Pic/202506/04/2_1/o/y2_1_06924_20250604194405.jpeg,,4950000.0,7.0,3.0,4.0,Unknown,"קוטג', בנה ביתך, קרית ים",1650000.0
שילה 8,₪ 2 500 000,"דירת גן, הסיטי, אשקלון",7 חדרים • קומה קרקע • 253 מ״ר,"ממ""ד, נוף פתוח לפארק, חניה",https://img.yad2.co.il/Pic/202504/17/2_1/o/y2_1_08178_20250417180730.jpeg,,2500000.0,7.0,253.0,4.0,אשקלון,,9881.422924901186
הגפן 1,₪ 2 099 900,"דירה, כרמי הנדיב, אחוזת רוטנר, קרית מלאכי",5 חדרים • קומה 3 • 130 מ״ר,"3 כיווני אוויר, חניה, חדש מקבלן",https://img.yad2.co.il/Pic/202509/16/2_1/o/y2_1_03621_20250916160426.jpeg,,2099900.0,5.0,130.0,3.0,קרית מלאכי,,16153.076923076924
אבנר חי שאקי 39,₪ 2 390 000,"דירה, גילה, ירושלים",3 חדרים • קומה 5 • 85 מ״ר,"ממ""ד, חניה, חדש מקבלן",https://img.yad2.co.il/Pic/202509/14/2_1/o/y2_1pa_010115_20250914092614.jpeg,,2390000.0,3.0,85.0,5.0,ירושלים,,28117.647058823528
אליהו גולומב 28,₪ 2 750 000,"טריפלקס, צפון מזרח מרכז העיר, נתניה",4 חדרים • קומה 5 • 1 מ״ר,"נוף פתוח לעיר, בניין משופץ, בהזדמנות",https://img.yad2.co.il/Pic/202509/16/2_1/o/y2_1pa_010170_20250916064928.jpeg,,2750000.0,4.0,1.0,5.0,נתניה,,2750000.0
